[2025-12-05 15:48:41] CPU: 9.9% | MEM: 79.5%
[2025-12-05 15:48:42] CPU: 7.7% | MEM: 79.5%
[2025-12-05 15:48:43] CPU: 10.9% | MEM: 79.5%
[2025-12-05 15:48:44] CPU: 13.8% | MEM: 80.4%
[2025-12-05 15:48:45] CPU: 16.0% | MEM: 82.1%
[2025-12-05 15:48:46] CPU: 14.5% | MEM: 83.7%
[2025-12-05 15:48:47] CPU: 15.8% | MEM: 85.4%
[2025-12-05 15:48:48] CPU: 17.0% | MEM: 86.8%
[2025-12-05 15:48:49] CPU: 19.3% | MEM: 88.1%
[2025-12-05 15:48:50] CPU: 23.3% | MEM: 89.2%
[2025-12-05 15:48:51] CPU: 29.0% | MEM: 86.0%
[2025-12-05 15:48:52] CPU: 22.9% | MEM: 87.8%
[2025-12-05 15:48:53] CPU: 16.8% | MEM: 89.4%
[2025-12-05 15:48:54] CPU: 25.6% | MEM: 90.4%
[2025-12-05 15:48:55] CPU: 29.8% | MEM: 91.2%
[2025-12-05 15:48:56] CPU: 22.1% | MEM: 92.0%
[2025-12-05 15:48:57] CPU: 26.4% | MEM: 92.5%
[2025-12-05 15:48:59] CPU: 21.7% | MEM: 92.5%
[2025-12-05 15:49:00] CPU: 25.5% | MEM: 92.7%
[2025-12-05 15:49:01] CPU: 31.9% | MEM: 100.0%
[2025-12-05 15:49:02] CPU: 54.3% | MEM: 79.9%
[2025-12-05 15:49:03] CPU: 82.4% | MEM: 77.7%
[2025-12-05 15:49:04] CPU: 97.9% | MEM: 77.7%
[2025-12-05 15:49:05] CPU: 68.8% | MEM: 77.8%
[2025-12-05 15:49:06] CPU: 48.6% | MEM: 78.6%
[2025-12-05 15:49:07] CPU: 38.7% | MEM: 77.7%
[2025-12-05 15:49:08] CPU: 43.2% | MEM: 77.0%
[2025-12-05 15:49:09] CPU: 38.1% | MEM: 75.9%
[2025-12-05 15:49:10] CPU: 34.0% | MEM: 75.5%
[2025-12-05 15:49:11] CPU: 24.5% | MEM: 76.5%
[2025-12-05 15:49:12] CPU: 18.3% | MEM: 77.7%
[2025-12-05 15:49:13] CPU: 18.9% | MEM: 79.0%
[2025-12-05 15:49:14] CPU: 17.8% | MEM: 80.3%
[2025-12-05 15:49:15] CPU: 22.5% | MEM: 81.8%
[2025-12-05 15:49:16] CPU: 17.9% | MEM: 83.1%
[2025-12-05 15:49:17] CPU: 20.9% | MEM: 84.3%
[2025-12-05 15:49:18] CPU: 31.9% | MEM: 85.7%
[2025-12-05 15:49:19] CPU: 17.9% | MEM: 86.8%
[2025-12-05 15:49:20] CPU: 20.0% | MEM: 88.2%
[2025-12-05 15:49:21] CPU: 15.8% | MEM: 89.5%
[2025-12-05 15:49:22] CPU: 22.0% | MEM: 88.3%
[2025-12-05 15:49:23] CPU: 19.3% | MEM: 85.4%
[2025-12-05 15:49:25] CPU: 27.8% | MEM: 86.1%
[2025-12-05 15:49:26] CPU: 35.9% | MEM: 88.2%
[2025-12-05 15:49:27] CPU: 21.4% | MEM: 88.1%
[2025-12-05 15:49:28] CPU: 24.7% | MEM: 99.1%
[2025-12-05 15:49:29] CPU: 78.3% | MEM: 81.2%
[2025-12-05 15:49:30] CPU: 98.1% | MEM: 80.7%
[2025-12-05 15:49:31] CPU: 98.5% | MEM: 80.8%
[2025-12-05 15:49:32] CPU: 39.1% | MEM: 76.5%
[2025-12-05 15:49:33] CPU: 67.7% | MEM: 79.5%
[2025-12-05 15:49:34] CPU: 71.2% | MEM: 81.4%
[2025-12-05 15:49:35] CPU: 54.7% | MEM: 82.3%
[2025-12-05 15:49:36] CPU: 39.3% | MEM: 82.0%
[2025-12-05 15:49:37] CPU: 42.0% | MEM: 81.8%
[2025-12-05 15:49:38] CPU: 31.1% | MEM: 81.3%
[2025-12-05 15:49:39] CPU: 31.1% | MEM: 80.2%
[2025-12-05 15:49:40] CPU: 39.5% | MEM: 79.1%
[2025-12-05 15:49:41] CPU: 23.0% | MEM: 77.5%
[2025-12-05 15:49:42] CPU: 26.0% | MEM: 78.0%
[2025-12-05 15:49:43] CPU: 23.3% | MEM: 78.6%
[2025-12-05 15:49:44] CPU: 20.9% | MEM: 79.1%
[2025-12-05 15:49:45] CPU: 38.2% | MEM: 79.6%
[2025-12-05 15:49:46] CPU: 35.5% | MEM: 80.3%
[2025-12-05 15:49:47] CPU: 25.3% | MEM: 80.6%
